uber_Name,google_Name,jelly,fuzzy,uber_full_address,google_full_address,google_cid,uber_id
Stuzzichino At La Piazza,Stuzzichino,0.8916666666666666,62.85714285714285,"8 greenfield parade, bankstown, NSW 2200","8 greenfield parade, bankstown, NSW 2200",a8844588175346904825,4DAkRG9iSFWOUnL4LbSSHw
Al Aseel Bankstown,Al Aseel Restaurant Bankstown,0.8842105263157894,59.25925925925925,"8 greenfield parade, bankstown, NSW 2200","8 greenfield parade, bankstown, NSW 2200",a18064914701755792464,GP8E4cj_UyyxULVl6VoVRA
Sweet City,Sweet City Cafe,0.9333333333333332,80.0,"232 south terrace, bankstown, NSW 2200","shop 1/232 south terrace, bankstown, NSW 2200",a17913444823523419844,NlPLlIfcQaiI5SRusdjV9g
Pho Song Huong (formerly Gia Hoi),Pho Song Huong Bankstown,0.8903225806451613,62.22222222222222,"299 chapel rd, bankstown, NSW 2200","299 chapel rd, bankstown, NSW 2200",a2239307635832460790,y5NeXayGQz6UNRM4ayOcPw
SeaSweet Patisserie (Bankstown),SeaSweet Patisserie,0.9310344827586208,79.16666666666666,"100 waterloo road, greenacre, NSW 2190","100 waterloo rd, greenacre, NSW 2190",a15494609971740062485,1MSctShPR7qBIy6nWbW_eg
Iki Sushi Bankstown,IKI Sushi & Grill,0.8947368421052632,64.28571428571428,"462 chapel rd, bankstown, NSW 2200","shop g20/462 chapel rd, bankstown, NSW 2200",a11910968339434257479,i78svrrQRgSN8LrXzznRMQ
Hot Pot City,Hotpot City,0.9381313131313131,95.65217391304348,"462 chapel rd, bankstown, NSW 2200","ground floor shop 22/462 chapel rd, bankstown, NSW 2200",a12236351234694963172,DM5nHQPFQaa2CEkBVleNyQ
Chef's Dynasty,Chef's Dynasty Yum Cha,0.923809523809524,76.47058823529412,"301/462 chapel rd, bankstown, NSW 2200","301/462 chapel rd, bankstown, NSW 2200",a14115962402597920360,gEUqj2HRSWWgehsLZEmbyA
Al Aseel Greenacre,Al Aseel Restaurant Greenacre,0.8842105263157894,59.25925925925925,"183 waterloo rd, greenacre, NSW 2190","183 waterloo rd, greenacre, NSW 2190",a1145601776718746037,C69lL_J-Su6NLYCfhlbntA
AL ASALA BAKERY,Asala Bakery,0.865,88.88888888888889,"207a miller rd, bass hill, NSW 2197","207a miller rd, bass hill, NSW 2197",a18232231591004362928,ZZXc-UMOQKe32rFC2Ls-ow
Lazeez Lebanese Restaurant,Lazeez Lebanese Cuisine,0.9177591973244148,61.224489795918366,"753 hume highway, bass hill, NSW 2197","753 hume hwy, bass hill, NSW 2197",a9631266548067762802,EqYMrQp1TJG-ZJShGRdotg
Mafi Metlo Pizzeria (Bass Hill),Mafi Metlo Bass Hill,0.9052631578947368,68.96551724137932,"753 hume hwy, bass hill, NSW 2197","5/753 hume hwy, bass hill, NSW 2197",a2546983346853531678,NCDqtg3uQyWGovN-GfjdyA
Sharetea (Bass Hill Plaza),Sharetea Bass Hill,0.9142857142857144,72.72727272727273,"753 hume highway, bass hill, NSW 2197","753 hume hwy, bass hill, NSW 2197",a2836312325876959648,Rpti1bN5SDmHvuA_-2RPRA
Basted (Bass Hill),Broaster Bass hill,0.8375000000000001,71.42857142857143,"shp 4/753 hume highway, bass hill, NSW 2197","shop 72/753 hume hwy, bass hill, NSW 2197",a15828942445743114119,p2CkqzEaWYyvnRC9xtBMEw
Wendy's Milk Bar (Bass Hill),Wendy's Bass Hill,0.88,57.14285714285714,"753 hume hwy, bass hill, NSW 2197","kiosk 6/753 hume hwy, bass hill, NSW 2197",a1210012195160597913,NRhPrDrASVCt0Fa5KzxYZQ
Tanomi,Tanomi Japanese Restaurant,0.8461538461538461,37.5,"9 john st, lidcombe, NSW 2141","9 john st, lidcombe, NSW 2141",a12118314921924346472,elRW9hlNTkuN1lVtr44_Eg
Suhhtan Pizza Bakery - Bass Hill,Suhhtan Bakery,0.9257142857142856,82.35294117647058,"786 hume highway, bass hill, NSW 2197","786 hume hwy, bass hill, NSW 2197",a2098953545379145206,NL44JW3RtSaeOAPTEszOA
Riz,Riz Cafe,0.8541666666666666,54.54545454545454,"159 rodd st, sefton, NSW 2162","159 rodd st, sefton, NSW 2162",a16734648675272783222,X-Lzh_CSSdOIYLHongJjBw
Suliya Gogiya,Suliya Bistro Lidcombe,0.8547008547008548,61.53846153846154,"40 railway st, lidcombe, NSW 2141","40 railway st, lidcombe, NSW 2141",a16453674455162444802,nAMR2QmFT9SetvSO6tfdkQ
Cuppa Coffee Café,Cuppa Coffee Cafe,0.9882352941176472,96.96969696969695,"259-261 hector street, bass hill, NSW 2197","259-261 hector st, bass hill, NSW 2197",a9473911420528753139,zfeEYNGXTfSPup6EOqhLIg
BK'S Bankstown Kebabs and Burgers,BK’s Bankstown Kebab & Burger,0.883059163059163,93.02325581395348,"226 chapel road, bankstown, NSW 2200","226 chapel rd, bankstown, NSW 2200",a9707348788542840948,lqN9y22BQHiFAVhUrBVYxA
Suhhtan Pizza Bakery Bankstown,Suhhtan bakery,0.9257142857142856,82.35294117647058,"226 chapel rd, bankstown, NSW 2200","226 chapel rd, bankstown, NSW 2200",a4122000941168829205,AxD5cfOqTrSwZJ-xQ2F_4g
