uber_Name,google_Name,average_health_score,cid,uber_id,uber_categories,google_tags,google_categories
Sweet City,Sweet City Cafe,-5.989955543524463,a17913444823523419844,NlPLlIfcQaiI5SRusdjV9g,"candy sweet,pizza,dessert,lebanese","shisha,baklava,atmosphere,pizza,forest,family,disgusting,sweet,juice,knafeh","candy,cake,patisserie,coffee,pizza,pastry,lebanese,cafe,dessert"
SeaSweet Patisserie (Bankstown),SeaSweet Patisserie,-5.98595035282466,a15494609971740062485,1MSctShPR7qBIy6nWbW_eg,"middle eastern,dessert,lebanese,cake","pistachio,smile,baklava,knefe,cocktail,ice cream,lebanese,sweet,lady,girl","patisserie,bakery,cake,ice cream"
Iki Sushi Bankstown,IKI Sushi & Grill,-2.04,a11910968339434257479,i78svrrQRgSN8LrXzznRMQ,"asian,japanese,halal,family meal","salmon,mouth,server,katsu,halal,salad,photo,roll,wagyu,rice","authentic japanese,restaurant"
Hot Pot City,Hotpot City,-2.0833333333333335,a12236351234694963172,DM5nHQPFQaa2CEkBVleNyQ,"asian,seafood,noodle","spicy,fresh food,cook,variety,halal,individual,value,soup base,tom yum,ox tail","hot pot,buffet"
Al Aseel Greenacre,Al Aseel Restaurant Greenacre,-4.693382352941177,a1145601776718746037,C69lL_J-Su6NLYCfhlbntA,"middle eastern,bbq,lebanese,salad","fattoush,parking,chip,lamb shank,banquet,mansaf,dip,lemon chicken,serving,lemon garlic chicken","restaurant,family,mediterranean,lebanese,middle eastern"
Lazeez Lebanese Restaurant,Lazeez Lebanese Cuisine,-5.413588560885609,a9631266548067762802,EqYMrQp1TJG-ZJShGRdotg,"middle eastern,lebanese,breakfast and brunch,family meal","food,lemon,kebbeh,birthday,management,mansaf,service,home,environment,professional,middle eastern food","fine dining,event venue,halal,lebanese,middle eastern"
Mafi Metlo Pizzeria (Bass Hill),Mafi Metlo Bass Hill,-5.90885175664096,a2546983346853531678,NCDqtg3uQyWGovN-GfjdyA,"middle eastern,pizza,lebanese","zaatar,smile,price,veggie,money,bakery",pizza
Suhhtan Pizza Bakery - Bass Hill,Suhhtan Bakery,-5.2357748335640375,a2098953545379145206,NL44JW3RtSaeOAPTEszOA,"italian,pizza,family meal","zaatar,peri peri,parking,price,chicken,pizza,garlic,lebanese,breakfast,car wash","pizza,bakery"
Riz,Riz Cafe,-3.676666666666667,a16734648675272783222,X-Lzh_CSSdOIYLHongJjBw,"australian,allergy friendly,juice and smoothy","price,passion fruit,sugarcane juice,flavour,pomegranate","diner,breakfast,cafe,juice"
Suliya Gogiya,Suliya Bistro Lidcombe,-3.956595744680851,a16453674455162444802,nAMR2QmFT9SetvSO6tfdkQ,"chicken,korean,asian","intestine,night,dinner,soup,fried chicken,korean,gopchang,hotpot,wagyu,employee",bbq
Cuppa Coffee Café,Cuppa Coffee Cafe,-4.79,a9473911420528753139,zfeEYNGXTfSPup6EOqhLIg,"cafe,ice cream,juice and smoothy","wrap,toasted,gelato,area,family,busines,dessert",cafe
Suhhtan Pizza Bakery Bankstown,Suhhtan bakery,-4.7148934715669935,a4122000941168829205,AxD5cfOqTrSwZJ-xQ2F_4g,"italian,vegan friendly,halal,pizza,family meal","zaatar,peri peri,need,price,beef,money,wrap","pizza,middle eastern,halal"
V Bites,VBites,-0.39,a12174042713097761017,x1NIT6VJQH-iLQOokYu7Ig,"asian,vietnamese","sauce,soup,vegan,pork,fried ice cream,price,bun bo hue,banh beo,rice paper roll,waiter","vietnamese,asian,coffee,restaurant,dessert"
Grind House Cafe & Co,Grind House Café & Co,-4.461451414514145,a4349104515933149679,F9PwMYPHTAWilvPkkCxr_g,"healthy,breakfast and brunch,modern australian",,cafe
Dee's burgers & pizza,Dee’s burgers & pizza,-5.410789895201965,a8885660275182154802,b2_dc0PZRYWD0MseXdJE6Q,"burger,sandwich,salad,american,fast food","topping,price","pizza,burger,fast food"
Sydney Star Kebab & Pizza,Sydney Star Kebab Bankstown,-6.209138817480721,a869627834939902338,63JVjpnJQpaJVdyDBCdItg,"turkish,pizza,family meal,kebab","price,garlic sauce,chip,cooked,chilli sauce,delivery,hsp","kebab,restaurant"
Mount Lewis Pizzeria,Mt Lewis Pizzeria,-6.53,a14522503536376772977,mc29CTWxSgqIoZrQYPFvpQ,lebanese,"zaatar,feel,breakfast,price,sujuk,area,lebanese,saj,money,bakery","pizza,takeout,restaurant"
