uber_Name,google_Name,average_health_score,google_cid,uber_id,uber_categories,google_Category
Stuzzichino At La Piazza,Stuzzichino,-5.570769230769231,a8844588175346904825,4DAkRG9iSFWOUnL4LbSSHw,italian,italian
Al Aseel Bankstown,Al Aseel Restaurant Bankstown,-6.8933333333333335,a18064914701755792464,GP8E4cj_UyyxULVl6VoVRA,"turkish,middle eastern,kebab",lebanese
Sweet City,Sweet City Cafe,-5.989955543524463,a17913444823523419844,NlPLlIfcQaiI5SRusdjV9g,"candy sweet,pizza,dessert,lebanese",cafe
Pho Song Huong (formerly Gia Hoi),Pho Song Huong Bankstown,-1.5481878059456398,a2239307635832460790,y5NeXayGQz6UNRM4ayOcPw,"vegan friendly,noodle,vegetarian friendly,asian owned,asian,south east asian,vietnamese,healthy,beef noodle,rice bowl,salad",vietnamese
SeaSweet Patisserie (Bankstown),SeaSweet Patisserie,-5.98595035282466,a15494609971740062485,1MSctShPR7qBIy6nWbW_eg,"middle eastern,dessert,lebanese,cake",bakery
Iki Sushi Bankstown,IKI Sushi & Grill,-2.04,a11910968339434257479,i78svrrQRgSN8LrXzznRMQ,"asian,japanese,halal,family meal",authentic japanese
Hot Pot City,Hotpot City,-2.0833333333333335,a12236351234694963172,DM5nHQPFQaa2CEkBVleNyQ,"asian,seafood,noodle",hot pot
Chef's Dynasty,Chef's Dynasty Yum Cha,-0.6615023474178404,a14115962402597920360,gEUqj2HRSWWgehsLZEmbyA,"asian,vegetarian friendly,chinese",chinese
Al Aseel Greenacre,Al Aseel Restaurant Greenacre,-4.693382352941177,a1145601776718746037,C69lL_J-Su6NLYCfhlbntA,"middle eastern,bbq,lebanese,salad",lebanese
AL ASALA BAKERY,Asala Bakery,-4.093687437392133,a18232231591004362928,ZZXc-UMOQKe32rFC2Ls-ow,"pizza,lebanese,vegetarian friendly",bakery
Lazeez Lebanese Restaurant,Lazeez Lebanese Cuisine,-5.413588560885609,a9631266548067762802,EqYMrQp1TJG-ZJShGRdotg,"middle eastern,lebanese,breakfast and brunch,family meal",lebanese
Mafi Metlo Pizzeria (Bass Hill),Mafi Metlo Bass Hill,-5.90885175664096,a2546983346853531678,NCDqtg3uQyWGovN-GfjdyA,"middle eastern,pizza,lebanese",pizza
Sharetea (Bass Hill Plaza),Sharetea Bass Hill,-4.953333333333333,a2836312325876959648,Rpti1bN5SDmHvuA_-2RPRA,"cafe,bubble tea,juice and smoothy",bubble tea
