uber_Name,uber_id,average_health_score,categories
Metro (Chullora),knUsQNfJV-aVjOfc3gP0Zg,-6.8525,"everyday essential,convenience,healthy,grocery"
Sugar House Waffles,xZ7zF2h_SVK9G3b9DVV2cg,-5.352765486725664,"dessert,modern australian"
Gong Cha (Chester Hill),VhqylpfCSyGsMS30X3QFHw,-5.066666666666666,"modern australian,bubble tea,juice and smoothy"
Miami Pizza,TP6nDt6VRRah5uAB_cXhVw,-4.91827763496144,"halal,pizza"
Snow Blossom,RaIc0_P3WDac2ZxJDk9Qrw,-3.8613827433628316,"cupcake,dessert,bakery,drink"
Auburn Sweets,UWDiSZR9SSCchZN2iDW4Sw,-5.310079714885851,"comfort food,dessert,modern australian"
San Churro (Bankstown),St5xe3jxRqqnuTerCXqPkw,-5.300079714885851,"comfort food,dessert,spanish"
Sweet City,NlPLlIfcQaiI5SRusdjV9g,-5.989955543524463,"candy sweet,pizza,dessert,lebanese"
Dinggu Pocha,IUXRjA1mTkOhN8dvkLroaQ,-2.973262411347518,"chicken,korean,soup"
Pho Song Huong (formerly Gia Hoi),y5NeXayGQz6UNRM4ayOcPw,-1.5481878059456398,"vegan friendly,noodle,vegetarian friendly,asian owned,asian,south east asian,vietnamese,healthy,beef noodle,rice bowl,salad"
DAIREE FroYo • bubble tea • Desserts • Açai,P3ZnlcNNR6Ce74E40yolqw,-6.885530973451328,dessert
SeaSweet Patisserie (Bankstown),1MSctShPR7qBIy6nWbW_eg,-5.98595035282466,"middle eastern,dessert,lebanese,cake"
Classic Burger,nqZfSwqZS9expQ6OuwPhRw,-5.6438524813980475,"halal,comfort food,burger,family meal"
PR Korean Restaurant,qLg0I9tCR2G5Gggy-WFoiQ,-4.816183078738383,"korean,fried chicken,beef noodle"
Soju Social,4qk4Ykw5SiikeirJMwNcSA,-3.956595744680851,"chicken,korean,asian"
Redpepper Station (Korean Fried Chicken),whByq52XWCqmy5T2grHp2A,-6.688165135082926,"chicken,comfort food,fast food"
Great Century Restaurant,Qx-q1LyBUtS1zEwQTUVR-w,0.059999999999999984,"chinese,soup,noodle,vietnamese"
Little Saigon Pho,E4yoMVaFT5i9oFXLmtHLJA,-0.33,vietnamese
Cha Point Bankstown,wNRLRaqcQq-NNdgAtiaU6g,-5.343575366313652,"cafe,dessert,bubble tea,coffee and tea"
Iki Sushi Bankstown,i78svrrQRgSN8LrXzznRMQ,-2.04,"asian,japanese,halal,family meal"
HITHAI (Lidcombe),C0u_fjvKWkGni9XQH1INBg,-0.5866666666666668,"asian,thai,noodle"
Al Aseel Greenacre,C69lL_J-Su6NLYCfhlbntA,-4.693382352941177,"middle eastern,bbq,lebanese,salad"
El Jannah (Chester Hill),fGSS92E-VpCwz6mZ7L965g,-6.510898070426802,"chicken,fried chicken,exclusive to eats,burger,comfort food,fast food,family meal"
Jenny's Asian Kitchen,IZV8fb1qThSihJELvNko_A,-2.16,"family meal,asian fusion,chinese"
Lokmades,NC7Cz0m1R5y-wSPwXlhq2A,-5.576746381552518,"halal,dessert,comfort food"
Oliver Brown (Little Saigon),DNmlfSU_TTuyYjslg5plJA,-4.281630935252757,"vegetarian,coffee and tea,dessert,cafe,family meal"
XS Espresso (Chullora),hsMFi_HHV4uIR0JNIcb5rQ,-4.448518138350398,"halal,breakfast and brunch,sandwich,american"
Exotic Cocktails (Guildford),phBHYNhAS--db-8JCydQvQ,-5.286628405664588,"dessert,breakfast and brunch,juice and smoothy"
iJuice Sugarcane,LRS2utFlRXqdAeTO53dw5Q,-5.045,"healthy,juice and smoothy"
McDonald's® (Yagoona II),If6-fNMJVn6meuwbMGlVdg,-5.920084012849024,"fast food,burger,sandwich,american,family meal"
Goodbar,C1ecggP-VDafrSA7Ks87gQ,-2.7493454846727423,"healthy,vegetarian friendly,salad"
AL ASALA BAKERY,ZZXc-UMOQKe32rFC2Ls-ow,-4.093687437392133,"pizza,lebanese,vegetarian friendly"
Dapto Hotdogs & Burgers,6mafFcZ1TzKNvl9EUm0Fhw,-5.681057791537668,"fast food,halal,burger,salad"
Lazeez Lebanese Restaurant,EqYMrQp1TJG-ZJShGRdotg,-5.413588560885609,"middle eastern,lebanese,breakfast and brunch,family meal"
Mafi Metlo Pizzeria (Bass Hill),NCDqtg3uQyWGovN-GfjdyA,-5.90885175664096,"middle eastern,pizza,lebanese"
Tanomi,elRW9hlNTkuN1lVtr44_Eg,1.073333333333333,"sushi,asian,noodle"
Suhhtan Pizza Bakery - Bass Hill,NL44JW3RtSaeOAPTEszOA,-5.2357748335640375,"italian,pizza,family meal"
Cafe Levant,br93xdMHQW-0pLOPjHQiCw,-4.426666666666667,"middle eastern,cafe,modern australian"
Chehadi Sweets,NccyGoCcS9aY6ED_7-36Fw,-6.432765486725664,"middle eastern,dessert"
Sugar sticks,HxHmIVmJR_6CGa65PERb6A,-6.526746381552518,"ice cream and frozen yoghurt,comfort food,dessert"
Jazz Pizza Chullora,kRXvrJDcQMalXg7Aj1BplQ,-5.264210900711613,"breakfast and brunch,bakery,lebanese,comfort food,health and nutrition supplement,dessert,fast food"
Liza Pizza,qp-Fi_JARiqFsdQHjovybw,-5.393662250346056,"italian,pizza"
Tai Pak Chinese Restaurant,sHdhTKgJSgmrPhZCI416YQ,-0.725,"asian,chinese"
The Italian Pizza Bar,eKNVWPriSC2PCCq1WhWmYA,-6.690735492577598,"italian,burger"
Andamiro Sushi,7wOhqqPvQ7SazlDcgKqEbg,2.81,"sushi,japanese style curry,japanese"
Golden Star 2001,dM_paTvTSr-ls5zCt6lhIg,-1.72,"asian fusion,asian,seafood,chinese"
PANCAKES & CO,rj8NvitnScmAbBIHxBtlHQ,-6.055119572328777,"dessert,comfort food"
Four Seasons Juice Bar,mLOhV2gMR3iVGkrAoYIWEA,-4.82292349726776,"healthy,coffee and tea,juice and smoothy"
Riz,X-Lzh_CSSdOIYLHongJjBw,-3.676666666666667,"australian,allergy friendly,juice and smoothy"
Coffee Mob,2lTNal_dT_GAT9N3j0smBw,-5.3729234972677595,"fast food,coffee and tea,modern australian"
Gebran Lebanese Cuisine,n0bkUp5JTPyloxrYl29FnQ,-4.591176470588235,"lebanese,seafood,salad"
Suliya Gogiya,nAMR2QmFT9SetvSO6tfdkQ,-3.956595744680851,"chicken,korean,asian"
Cuppa Coffee Café,zfeEYNGXTfSPup6EOqhLIg,-4.79,"cafe,ice cream,juice and smoothy"
BK'S Bankstown Kebabs and Burgers,lqN9y22BQHiFAVhUrBVYxA,-5.8125884955752225,"middle eastern,turkish,allergy friendly,dessert,family meal,fast food"
HPS Adam's Pizza & Kebabs,RCaTn70lRAedes3-O0AQug,-4.6294514048617685,"halal,burger,pizza,pastry,family meal"
Sharetea (Bass Hill Plaza),Rpti1bN5SDmHvuA_-2RPRA,-4.953333333333333,"cafe,bubble tea,juice and smoothy"
Beans & Dolls,EzKP4OAQXbysp-Mlwozx0A,-5.543333333333333,"healthy,ice cream and frozen yoghurt,modern australian"
V Bites,x1NIT6VJQH-iLQOokYu7Ig,-0.39,"asian,vietnamese"
Cocktail & Crepes,qaHbQuJTUilKiU4n7b5cw,-5.817765486725664,"dessert,juice and smoothy"
Grind House Cafe & Co,F9PwMYPHTAWilvPkkCxr_g,-4.461451414514145,"healthy,breakfast and brunch,modern australian"
Ampol Woolworths MetroGo (Strathfield South),Glh9yVhUQa-JB0KtISpjrA,-7.3566666666666665,"everyday essential,convenience,grocery"
Fruitopia,g_vPy3L-T7Gq3HOa_zcWBA,-5.003333333333333,"healthy,family meal,juice and smoothy"
Thai Hutt Bankstown,1r-WS0nROGyG6AOuXzvcg,-1.9666666666666668,"halal,thai,south east asian"
Kaffeine&co,4v1r9utWQyfnjyfkhNRiw,-4.929687471582887,"healthy,breakfast and brunch,comfort food"
Snacks by Speedway (Granville),GnrT4pwoTea2Qjz8tT_kRg,-7.431177042801556,"everyday essential,convenience,snack,comfort food"
Grill Masterz,XU-NSqWTTtazhjPle_mDlw,-6.066900584795323,"allergy friendly,burger,fast food"
Chicken V (Lidcombe),Luitx49lSPKX84_bOYFT3A,-4.116595744680851,"chicken,korean,noodle"
Aji Japanese Cuisine,qAEnzGn3SuOzJOxGQymMVA,1.9766666666666666,"sushi,roll,japanese"
KFC (Yagoona),DA29QIDVWuCgsur5gty84A,-6.683373227724151,"chicken,fried chicken,wing,burger,merchant delivery,comfort food,american,fast food,family meal"
Lahori Dhaba,BOKYtv0yUjeopGpaafc3gg,-2.2399999999999998,"indian,biryani,rice and curry"
Cafe Nho (Bankstown),Oj35Rl4rSYOqNwBVgishDg,-1.8800000000000001,"asian fusion,juice and smoothy,vietnamese"
Mr Shawarma,HnvEZtNwS6KSJj6huHbkTg,-6.255000000000001,"middle eastern,lebanese"
Oven Bake,z4AQ8bupRdKDglaLXbWHXQ,-5.77853271273116,"european,fried chicken,bakery,pizza,lebanese,comfort food,american,dessert,fast food"
Dougie's Grill Auburn,HZ0JvvNSSryw2E1nDAOy0w,-7.725350877192982,"burger,american"
Chester Square Manoush Cafe,nd2VIi33Ts-iuiJf6ApiSw,-5.657087813709701,"pizza,lebanese,comfort food"
Bankstown Burgers,geicPtnlT_Gw-Io5F0c95g,-6.121352481398048,"comfort food,lebanese,burger,family meal"
Volcano's Steakhouse & Ribs,AHwvN-2ZTOKRpcT1CY-qnw,-3.678153846153846,"italian,pasta,bbq,steak,family meal"
Memo's Pizza & Kebab,Jjjslw8IS52GTw_WIl6l9A,-6.8302339181286555,"turkish,middle eastern,burger"
I Love Manoush,RUllnjz2QYSMyEc-SFshMw,-5.59827763496144,"middle eastern,pizza"
Couchfood (Yagoona) Powered By BP,dTEMgJb7QyizfJNYcKqZpA,-7.57,"everyday essential,convenience"
Tossakan Thai,Ipi2ScusQwmzMVUNPRYLfg,-1.5733333333333333,"bbq,asian,thai"
Pure Thai Restaurant and Cafe,Xc5XAH13R6qEYYzLLk7qIQ,-0.64,"thai,south east asian"
Huong Xua Bankstown,BKrwSIlyRyKrLeD2a5_1MQ,-2.0766666666666667,"healthy,asian fusion,vietnamese"
A Brothers Kebab and Pizza,AHj_3tG3RweyLQRrYy3s5Q,-5.6616388174807195,"middle eastern,pizza,lebanese,family meal"
Sydney Kebabs,MIn7G_eMQ1-oSkJNM7-6iQ,-5.468677042801556,"turkish,mediterranean,australian,comfort food"
Jasmin1 Bankstown,5IcWnMNhTWe8hMe8Hv4gCw,-5.613333333333334,"middle eastern,lebanese,soul food"
Paradise Cuisine,EPk3eg-YSgCYUU6gLqY1GA,-5.958277634961441,"turkish,pizza"
The Burger Shed Granville,rn9PxcTJQ3m4T9XGuoE3_Q,-7.725350877192982,"burger,american"
Couchfood (Wiley Park) Powered by BP,Fkgkzgg3Rh-FXHWwM5SMlQ,-7.57,"everyday essential,convenience"
Red Rooster (Bass Hill),sf3IM8hXRXqblXa1kszxxg,-6.892622247107131,"chicken,family meal,burger,fast food"
Foodary (Greenacre) by Ampol,YnluW923TwiT60z5HXL-qw,-7.57,"everyday essential,convenience"
Eats 2 U (Bass Hill),nl7U_U8mQuaNC4c0LWFmzQ,-7.431177042801556,"comfort food,everyday essential,convenience,snack"
Zahid Restaurant,EN4IWbp1QwiFNy59iHQofg,-1.645,"indian,pakistani"
Kebab Circus,ZsU-JZQ1QxelSOaDBxK4Jw,-7.048236057068742,"fast food,comfort food,kebab"
PCTORANG,66-EW7oQRQq1AuDUadkPrg,-5.563157415396415,"korean,coffee and tea,burger"
Blaze Charcoal Chicken,l4GiQL7rSY6UzRCwu0BC-Q,-5.753039431926949,"chicken,bbq,burger,comfort food,family meal"
PALBOK BBQ Korean Restaurant,pR9G7zsbQFSB89aZkItGdg,-2.475,"korean,asian"
Aqua Noodle House,ZtU7-mSiS4eOB4pDhtnT5Q,-0.9633333333333334,"asian fusion,indonesian,vietnamese"
Hot Pot City,DM5nHQPFQaa2CEkBVleNyQ,-2.0833333333333335,"asian,seafood,noodle"
Tea Struck Bankstown Central,C8ALGyqzSWi3j66NsvKVkw,-3.0933333333333337,"asian,bubble tea,drink"
Cocktails & Co,kEmCQ__9R1-HVocyzI43Tw,-5.5800478289315105,"bubble tea,comfort food,modern australian,healthy,dessert"
Firefly Burgers,c-8am2JtQl6y-o_J-z6kwQ,-5.2816853326428,"australian,breakfast and brunch,burger"
Chefs Gallery Bankstown,zMHR5FqAVRCUgVllf59maw,-3.6,"asian fusion,family meal,fast food,chinese"
J's Kitchen at Berala Hotel Bistro,M_j6vCZhTJO1HJCc4DvCYA,-7.109999999999999,"turkish,greek,fast food"
Juicy Burgers,rRNeO6_oQeu_jkU5LruczA,-7.7902339181286555,"fast food,burger,american"
Manoosh on Hector,YMdlcXDRvK0uhnl7XWT8g,-5.286523748123848,"middle eastern,italian,pizza,coffee and tea"
Soft Sip,MlQElC7FQj-F45XbaYWRVQ,-5.507708245115238,"breakfast and brunch,coffee and tea,fast food"
Crust Pizza (Bankstown),8but1QMcRXKwWdSmMQaGWA,-3.5121813344321726,"italian,gluten free friendly,vegetarian friendly,pizza,dessert,vegan"
Cold Rock Ice Cream (Metro Guildford),PeTtqht7T9i1Lc4fxqh-jQ,-7.177765486725663,"ice cream and frozen yogurt,dessert"
Zambeekas Char-Grilled Chicken,HmTW5u2qT0eul0VgN8UF7A,-5.684234987598699,"halal,bbq,burger,comfort food,american,family meal"
Viet Pho Restaurant & KTV,4m2FqU1CTmSRxd_fzhgd9Q,-4.039929078014184,"chicken,seafood,vietnamese"
hawa chicken greenacre,A1_tkvohSp2UY7qQ7ih-Ww,-6.392446808510639,"middle eastern,lebanese,chicken,mediterranean"
Regents Park Bottler,eI5w6akBW5CRZbCb6SlQww,-8.0,alcohol
1L Coffee Cafe,1d9PfhxDRxKofQFzZHuV3Q,-4.8295901639344265,"cafe,bubble tea,coffee and tea"
BBQ City Buffet Bankstown,c8apzQdMRo-4aOT_m7P_lg,-3.365,"bbq,korean,asian,halal"
Marosh Bakery,nNClGAt7TAyBawfxde9i7A,-5.710000000000001,"middle eastern,halal,lebanese"
Domino's (Greenacre),OMq2n-P6S52M05RIPctTQA,-4.813213868535859,"italian,gluten free,pizza,dessert"
Metro Petroleum (Guildford),bjwxKudJRcag5IYsr-11TA,-7.57,"everyday essential,convenience"
Chehade El Bahsa and Sons,9HUZ3DA6WMC7PrjExh4Y6w,-6.213413048219185,"dessert,lebanese,comfort food"
Gia Hoi,v7s2FFLfUI-_WTH45OtQiw,-2.2531061946902655,"chinese,noodle,malaysian,vietnamese,dessert"
Bayan & Co,mWDiEcsuRiiMGKktL24xSw,-5.2604211470430355,"healthy,pizza,comfort food"
Snacks by Speedway (Auburn),4XTLfgIJR9auLEA39v4RZw,-7.57,"everyday essential,convenience"
Dee's burgers & pizza,b2_dc0PZRYWD0MseXdJE6Q,-5.410789895201965,"burger,sandwich,salad,american,fast food"
Mira Mini Market,NMo2OMNYQOq4MqE-090Mww,-7.57,"everyday essential,convenience"
Egg Hut,f9R5eid4W9esAdh6v4EcbA,-5.68,"korean,halal,fast food"
Dougie's Fried Chicken,oJv-orJXXPegppJThihv3Q,-6.6519297202968986,"chicken,exclusive to eats,wing,burger,american,fast food"
Mad Grillz SmokeHouse,DnRTwgwkRp2DiewXIcMbkg,-6.9175597861643885,"fast food,comfort food,dessert,american"
Yagoona Kebab House,S1KD3XcOQ3eyHr9dNlyGnw,-6.376900584795322,"turkish,halal,burger"
Burgers with Bite (Bankstown),X7B-cHq3VuiSggLz1XdT8A,-4.073333333333333,"cafe,family meal,modern australian"
Ogong Korean BBQ,PUXL-cZgQCeRDCQDEgiC6A,-1.425,"korean,seafood,japanese bbq,asian fusion,asian,japanese"
Birrong pizza,uqeHTnYVTjqoAl7GaClc2A,-5.59827763496144,"middle eastern,pizza"
Dessert Store Lidcombe,ntslpdRRHKbesv6Ubqc0A,-6.883106194690265,"ice cream and frozen yoghurt,convenience,everyday essential,dessert,family meal"
1+1 Chicken,0V66B2FmX7SzhZzejqYJ0Q,-6.503262411347518,"chicken,korean,fried chicken"
Sydney Star Kebab & Pizza,63JVjpnJQpaJVdyDBCdItg,-6.209138817480721,"turkish,pizza,family meal,kebab"
Gozleme King - Bankstown,OV2uXzJpQ7SSubcZMZbkYQ,-4.854901408450705,"middle eastern,vegetarian friendly,turkish,mediterranean,family meal"
Titanic Cafe,gzuiwMu9SYGJd5tYKNSlDQ,-5.462446808510638,"chicken,cafe,lebanese,family meal"
Basted (Bass Hill),p2CkqzEaWYyvnRC9xtBMEw,-8.05262224710713,"portuguese,chicken,burger,fast food"
The Bakery's King,k2K6amxlTou3_Gx976uKYA,-3.36025641025641,"italian,cafe,bakery"
Burgers on Broadway (Regents Park),czXuLy4WSr6PAk22gvo_Sw,-6.152140350877194,"burger,allergy friendly,american,family meal,fast food"
Mount Lewis Pizzeria,mc29CTWxSgqIoZrQYPFvpQ,-6.53,lebanese
Fried Chicken by Red Rooster (Chullora),kBW9PvIMTPSvn6AbSGWhmw,-7.685122247107129,"chicken,fried chicken,burger,fast food"
laroche,lnBMLMA2SKG3OPv8wNv86g,-6.442500000000001,"healthy,middle eastern,lebanese,fast food"
Hawana Juice & Dessert Bar,6FOUzgZ-UDCpjahWpAYRIA,-5.83382425203381,"waffle,dessert,juice and smoothy"
Urbanista Fast Food Yagoona,XW8wnl7HR1itW8tmGIYlHA,-3.1228794313774255,"dim sum,coffee and tea,modern australian"
The Pitstop,wO_7TDWrX6KNj9We8jDHPw,-6.356558181959324,"halal,dessert,mexican,burger"
Grill Masterz Cafe,0cZcWF1WRWKToXhdvanSew,-4.0125,"drink,bubble tea,allergy friendly,juice and smoothy"
Pie Face (Yagoona),zuUT4PpEQFejptQrOvsiKQ,-4.944208213885081,"convenience,sandwich,bakery,dessert,family meal,fast food"
Malatang Street Food by Hotpot City,FV47ApD-TBa6mC-gUG8owQ,-2.7866666666666666,"halal,asian,street food"
The Family Market,b815uHCdRjaLlcbHFxC6Gw,-7.57,"everyday essential,convenience"
El Beik,Y1SK6QZoWO2wo9x1nxjQLg,-3.1499061032863853,"american,roll,sandwich"
